year,make,model,cylinders,drivetrain,fuel_type,hwy_mpg,transmission,size_class,base_model
2022,Acura,ILX,4,Front-Wheel Drive,Premium,34,Automatic (AM-S8),Compact Cars,Stinger
2024,Acura,Integra,4,Front-Wheel Drive,Premium,28,Manual 6-spd,Large Cars,Integra
2024,Acura,Integra,4,Front-Wheel Drive,Premium,37,Automatic (AV-S7),Large Cars,Integra
2023,Acura,Integra,4,Front-Wheel Drive,Premium,37,Automatic (AV-S7),Large Cars,Integra
2024,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Automatic (AV-S7),Large Cars,Integra
2024,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Manual 6-spd,Large Cars,Integra
2023,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Manual 6-spd,Large Cars,Integra
2023,Acura,Integra A-Spec,4,Front-Wheel Drive,Premium,36,Automatic (AV-S7),Large Cars,Integra
2022,Acura,MDX ,6,All-Wheel Drive,Premium,25,Automatic (S10),Small SUV 4WD,Eclipse Cross
2024,Acura,MDX ,6,All-Wheel Drive,Premium,25,Automatic (S10),Small SUV 4WD,MDX
2023,Acura,MDX ,6,All-Wheel Drive,Premium,25,Automatic (S10),Small SUV 4WD,MDX
2022,Acura,MDX ,6,Front-Wheel Drive,Premium,26,Automatic (S10),Small SUV 2WD,8 Series
2024,Acura,MDX ,6,Front-Wheel Drive,Premium,26,Automatic (S10),Small SUV 2WD,MDX
2023,Acura,MDX ,6,Front-Wheel Drive,Premium,26,Automatic (S10),Small SUV 2WD,MDX
2022,Acura,MDX  Type-S,6,All-Wheel Drive,Premium,21,Automatic (S10),Standard SUV 4WD,Kona
2024,Acura,MDX  Type-S,6,All-Wheel Drive,Premium,21,Automatic (S10),Standard SUV 4WD,MDX
2023,Acura,MDX  Type-S,6,All-Wheel Drive,Premium,21,Automatic (S10),Standard SUV 4WD,MDX
2022,Acura,NSX Hybrid,6,All-Wheel Drive,Premium,22,Automatic (AM-S9),Two Seaters,Clubman
2022,Acura,RDX ,4,All-Wheel Drive,Premium,27,Automatic (S10),Small SUV 4WD,7 Series
2024,Acura,RDX ,4,All-Wheel Drive,Premium,27,Automatic (S10),Small SUV 4WD,RDX
2023,Acura,RDX ,4,All-Wheel Drive,Premium,27,Automatic (S10),Small SUV 4WD,RDX
2022,Acura,RDX ,4,Front-Wheel Drive,Premium,28,Automatic (S10),Small SUV 2WD,QX55
2023,Acura,RDX ,4,Front-Wheel Drive,Premium,28,Automatic (S10),Small SUV 2WD,RDX
2022,Acura,RDX  A-SPEC,4,All-Wheel Drive,Premium,26,Automatic (S10),Small SUV 4WD,Trailblazer
2024,Acura,RDX  A-SPEC,4,All-Wheel Drive,Premium,26,Automatic (S10),Small SUV 4WD,RDX
2023,Acura,RDX  A-SPEC,4,All-Wheel Drive,Premium,26,Automatic (S10),Small SUV 4WD,RDX
2022,Acura,RDX  A-SPEC,4,Front-Wheel Drive,Premium,27,Automatic (S10),Small SUV 2WD,Transit Connect
2023,Acura,RDX  A-SPEC,4,Front-Wheel Drive,Premium,27,Automatic (S10),Small SUV 2WD,RDX
2022,Acura,TLX ,4,All-Wheel Drive,Premium,29,Automatic (S10),Compact Cars,XT4
2023,Acura,TLX ,4,All-Wheel Drive,Premium,29,Automatic (S10),Compact Cars,TLX
2022,Acura,TLX ,4,Front-Wheel Drive,Premium,31,Automatic (S10),Compact Cars,XT6
2024,Acura,TLX ,4,Front-Wheel Drive,Premium,31,Automatic (S10),Compact Cars,TLX
2023,Acura,TLX ,4,Front-Wheel Drive,Premium,31,Automatic (S10),Compact Cars,TLX
2022,Acura,TLX  A-SPEC,4,All-Wheel Drive,Premium,29,Automatic (S10),Compact Cars,Santa Fe
2024,Acura,TLX  A-SPEC,4,All-Wheel Drive,Premium,29,Automatic (S10),Compact Cars,TLX
2023,Acura,TLX  A-SPEC,4,All-Wheel Drive,Premium,29,Automatic (S10),Compact Cars,TLX
2022,Acura,TLX  A-SPEC,4,Front-Wheel Drive,Premium,30,Automatic (S10),Compact Cars,Elantra
2023,Acura,TLX  A-SPEC,4,Front-Wheel Drive,Premium,30,Automatic (S10),Compact Cars,TLX
2022,Acura,TLX Type-S,6,All-Wheel Drive,Premium,25,Automatic (S10),Compact Cars,Impreza
2024,Acura,TLX Type-S,6,All-Wheel Drive,Premium,25,Automatic (S10),Compact Cars,TLX
2023,Acura,TLX Type-S,6,All-Wheel Drive,Premium,25,Automatic (S10),Compact Cars,TLX
2022,Alfa Romeo,Giulia,6,Rear-Wheel Drive,Premium,25,Automatic 8-spd,Midsize Cars,Corolla
2022,Alfa Romeo,Giulia,4,Rear-Wheel Drive,Premium,33,Automatic 8-spd,Midsize Cars,R8
2024,Alfa Romeo,Giulia,6,Rear-Wheel Drive,Premium,25,Automatic 8-spd,Midsize Cars,Giulia
2024,Alfa Romeo,Giulia,4,Rear-Wheel Drive,Premium,33,Automatic 8-spd,Midsize Cars,Giulia
2023,Alfa Romeo,Giulia,4,Rear-Wheel Drive,Premium,33,Automatic 8-spd,Midsize Cars,Giulia
